,NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
162,ITAU UNIBANCO HOLDING PN,BRITUBACNPR1,287.81,551.82,710.33,551.87,377.67,828.74,1394.81,2764.1,3529.04,4226.42,2433.18,5750.69,6253.92,6231.45,5372.89,4367.64,4962.86,2698.97,6504.76,9050.02,9568.87,7543.3,5385.73,5956.37,6609.5,9033.59,8454.86
163,KLABIN PN,BRKLBNACNPR9,,,,43.4,28.85,120.52,201.95,206.89,271.23,426.41,173.54,360.6,463.92,637.98,1021.5,748.19,798.06,666.01,723.26,840.0,806.06,934.35,992.83,873.88,806.24,950.33,1001.33
164,LIGHT ON,BRLIGTACNOR2,32.13,77.8,71.51,28.92,9.89,20.88,19.46,13.22,24.01,28.63,24.58,37.4,50.25,55.36,40.37,31.4,25.05,9.36,30.15,23.65,25.73,25.94,20.09,10.88,3.43,6.09,3.78
165,CMPBRA.DE DISTB.ON,BRPCARACNOR3,51.29,53.3,119.29,123.05,103.18,123.57,139.98,192.06,296.51,278.26,181.88,414.45,576.63,561.55,493.27,408.15,371.26,187.27,477.83,359.4,355.71,310.6,214.07,479.46,449.49,330.04,181.03
166,PETROLEO BRASILEIRO PN,BRPETRACNPR6,101.81,277.7,322.14,254.94,186.83,391.95,567.58,1321.55,1549.93,3314.86,1551.07,2818.95,2628.64,2343.74,1560.41,993.72,594.5,198.75,882.51,1148.33,1363.84,1325.45,1065.42,1493.75,2027.4,4411.22,4218.44
167,LOCALIZA RENT A CAR ON,BRRENTACNOR4,,,,,,,,155.71,272.74,264.0,101.79,329.79,466.61,509.65,570.99,420.82,449.86,194.28,451.3,910.98,1049.01,1591.33,1572.13,1387.87,1553.88,1431.09,747.72
168,CPAD.SANMT.BASICO DE SAOP.ON,BRSBSPACNOR5,19.18,55.44,59.83,36.03,18.6,41.56,50.06,78.78,150.78,201.07,94.92,171.85,256.11,365.05,512.58,302.24,177.65,191.34,380.57,424.9,485.41,597.51,332.27,293.96,485.71,705.09,746.81
169,SUZANO ON,BRSUZBACNOR0,,,,,,,,,,,,,,,,,,,,32.35,63.06,46.52,58.72,56.49,47.73,55.98,59.95
170,USINAS SIDERURGICAS DE MINAS GERAIS PN A,BRUSIMACNPA6,19.7,71.49,69.21,38.54,27.9,146.26,318.86,522.54,740.31,1435.26,544.0,1295.49,1118.38,659.9,508.03,468.74,126.14,23.07,167.06,366.39,268.79,233.86,251.18,350.55,186.76,225.63,121.1
171,VALE ON,BRVALEACNOR0,42.79,115.76,125.97,124.36,158.63,321.11,558.29,945.86,1332.23,2502.94,1135.01,2313.87,2978.67,2419.04,1997.1,1353.2,797.38,246.37,1206.48,1526.45,1587.7,1544.82,2189.82,2544.5,3075.7,2490.06,1904.58
172,TELEFONICA BRASIL ON,BRVIVTACNOR0,61.94,112.13,82.74,73.09,52.86,132.15,192.77,250.05,397.56,474.19,328.02,457.46,600.3,731.18,714.89,550.18,558.64,292.55,506.87,609.37,569.09,659.75,492.74,571.55,518.07,724.0,643.1
173,WEG ON,BRWEGEACNOR0,43.9,62.66,88.18,129.05,122.98,308.53,532.01,638.72,1682.07,2449.09,1068.94,2070.35,2593.16,2522.69,2979.64,2677.85,3824.44,2340.62,3395.81,4791.04,4827.31,8748.82,14568.41,11143.32,14407.58,12609.7,18101.51
290,AGUAS ANDINAS,CL0000000035,2.07,3.31,2.85,3.73,2.64,4.89,5.08,6.72,8.36,9.36,7.4,10.9,13.15,17.05,22.0,19.52,19.42,17.41,20.13,26.34,24.88,17.01,14.11,11.71,13.17,16.89,19.8
291,CENCOSUD,CL0000000100,,,,,,,,,0.51,0.61,0.61,0.52,1.0,0.93,0.96,0.96,0.96,0.96,0.51,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.67
