NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
METALURGICA GERDAU PN,BRGOAUACNPR8,97.13,333.41,238.84,221.23,206.02,644.39,1290.39,2080.66,2688.11,4526.38,2288.77,4905.95,4371.99,3533.21,3087.02,2323.71,1045.05,175.37,1184.65,1407.03,1346.42,1685.01,1416.56,1618.47,1811.17,1343.58,1095.32
ITAUSA INVESTIMENTOS ITAU PN,BRITSAACNPR7,934.63,2034.99,2121.58,1683.74,1042.2,2321.19,3646.45,8114.84,11222.13,12250.12,7255.35,16828.8,18800.93,18447.44,15358.61,11407.89,12856.0,6598.3,13631.05,18769.24,20479.0,16738.19,11128.67,10980.18,10604.81,13615.65,11519.62
ITAU UNIBANCO HOLDING PN,BRITUBACNPR1,2077.11,3795.57,4747.75,3577.49,2341.2,5234.56,8565.0,15918.21,22483.36,26206.86,14213.81,46278.09,49012.23,47236.85,39337.64,30955.18,34097.28,17621.47,38779.03,52007.16,51522.47,37614.43,25716.16,22937.2,24454.22,31930.13,27844.32
KLABIN PN,BRKLBNACNPR9,,,,279.42,185.73,757.55,1179.85,1151.29,1440.77,2145.68,828.15,1659.78,2050.11,2703.93,4186.18,3121.64,2947.56,2411.12,2528.74,3360.55,3021.53,3321.37,3639.77,3148.8,2704.0,2989.06,2957.4
LIGHT ON,BRLIGTACNOR2,598.68,1939.69,1782.79,721.06,421.45,889.88,826.66,888.38,1617.02,2713.0,2067.62,2788.98,3185.08,3181.31,2115.78,1568.88,1133.86,403.09,1291.54,1013.09,1093.36,1627.77,1502.62,794.22,243.87,433.38,269.19
CMPBRA.DE DISTB.ON,BRPCARACNOR3,474.58,481.34,1010.56,1315.72,1091.46,1295.9,1456.81,1550.21,2375.7,2224.75,1446.18,3252.2,4490.24,4333.98,3772.09,3081.84,2769.3,1375.7,3508.91,2630.34,2567.23,2222.43,4087.66,1147.64,1060.96,223.99,222.95
PETROLEO BRASILEIRO PN,BRPETRACNPR6,3968.46,10720.04,12215.28,9031.12,6210.03,12300.54,16790.95,37289.96,41723.04,86515.66,38989.23,68621.38,93551.23,79690.76,52209.18,32004.93,17982.28,6011.84,26693.95,34734.51,39595.85,37245.73,29938.12,34369.06,27496.57,46259.44,35053.44
LOCALIZA RENT A CAR ON,BRRENTACNOR4,,,,,,,,1109.05,2035.32,1864.26,702.34,2230.96,3120.03,3360.64,3716.93,2620.92,2762.56,1162.86,2644.67,5261.3,5994.88,9745.49,9547.87,8365.0,11901.33,11554.29,5849.15
CPAD.SANMT.BASICO DE SAOP.ON,BRSBSPACNOR5,1246.44,3165.82,3111.92,1652.99,695.9,1381.91,1479.62,2208.41,3950.71,5001.63,2276.91,3955.86,5614.07,7663.3,10415.51,5949.05,3361.99,3531.08,6960.12,7516.75,8282.19,9959.59,5383.57,4696.29,7622.36,10831.6,11283.82
SUZANO ON,BRSUZBACNOR0,,,,,,,,,,,,,,,,,,,,7278.79,17382.23,12686.13,16011.65,15221.17,12267.6,13474.88,13548.84
USINAS SIDERURGICAS DE MINAS GERAIS PN A,BRUSIMACNPA6,194.68,674.0,629.11,329.76,231.08,1137.42,2373.65,3442.55,4589.1,8502.39,3039.38,6970.63,5894.59,3452.7,2641.33,2437.06,655.84,119.28,914.99,2006.75,1454.06,1253.56,1334.94,1718.49,867.3,1002.08,519.87
VALE ON,BRVALEACNOR0,2444.37,6153.37,6216.71,5606.94,6955.75,13427.97,22542.77,36955.52,50909.58,94248.37,44900.82,89236.62,112292.66,86064.5,67164.83,43163.09,23539.88,6905.06,33625.15,66942.0,66957.19,63473.77,86378.42,83067.73,85272.9,60364.76,42230.1
TELEFONICA BRASIL ON,BRVIVTACNOR0,1329.79,2205.57,1976.95,1603.95,1067.71,2103.66,2654.95,2836.0,3983.69,4250.95,2592.64,3369.05,3955.0,9659.22,8669.12,6184.38,5866.96,4208.63,6924.11,7827.11,6669.87,7156.2,14696.72,15797.58,13377.29,17431.36,14426.78
WEG ON,BRWEGEACNOR0,95.73,128.89,170.73,232.83,216.47,509.15,840.43,973.83,2471.28,7528.62,3202.13,6043.6,7343.94,6934.98,7977.78,6992.11,9744.66,5825.85,8234.91,11402.94,11286.16,20137.49,33263.1,25157.04,31961.25,27530.14,38827.76
AGUAS ANDINAS,CL0000000035,898.81,1622.88,1328.91,1668.77,1126.42,1749.03,970.14,1192.65,1382.97,1459.35,1065.98,1691.38,1995.79,3544.02,4312.22,3626.82,3412.73,2895.73,3163.69,3911.42,3488.82,2246.1,1779.09,1342.5,1411.7,1712.01,1865.82
CENCOSUD,CL0000000100,,,,,,,2438.28,3995.59,7149.06,8725.57,3853.9,7997.45,15177.48,13868.59,15618.82,7751.75,7281.84,5847.83,8546.43,8876.1,5845.35,3621.93,5221.07,5207.4,5158.88,4976.72,7207.61
LATAM AIRLINES GROUP,CL0000000423,246.04,629.73,531.47,423.11,365.29,1103.76,2187.24,2398.22,4119.55,4600.77,2807.6,5662.89,9429.55,8769.3,11825.14,7462.04,5796.82,2814.96,5724.27,10139.04,7197.91,5085.02,1036.77,225.79,4397.04,7308.14,9274.38
INVERSIONES AGUAS METROPOLITANAS,CL0000001256,,,,,,,,1001.42,1150.25,1197.6,831.37,1225.07,1559.93,1624.52,2073.57,1594.15,1549.92,1348.74,1470.47,1915.64,1577.53,939.34,783.34,576.3,589.09,764.64,780.07
EMPRESAS CMPC,CL0000001314,1104.46,2361.82,1794.17,1827.96,1681.32,3702.11,4273.65,5063.77,6649.62,8216.42,3880.8,9720.43,10904.46,9332.75,8679.01,4903.79,6380.22,5643.97,5639.82,9881.98,9380.93,5823.25,6981.14,4479.85,4289.73,4088.17,4194.14
AES ANDES DEAD - DELIST.18/04/24,CL0002694637,1092.72,1237.31,1321.97,843.01,344.02,904.51,990.44,1050.61,2425.53,2697.6,2615.75,3919.13,3932.75,4911.47,5533.89,3809.64,4384.27,3590.45,2862.1,2653.79,2646.49,1557.88,1428.74,1729.18,1512.51,888.21,854.08
BANCO ITAU CHILE,CL0002841873,,,,,674.52,1215.13,1200.43,1264.77,1226.31,1553.33,967.04,1896.09,3662.49,3791.17,5013.18,3613.88,3860.73,2548.43,4186.73,5119.86,5109.0,2445.63,1781.67,2144.56,2244.28,2004.64,2440.16
ANTAR CHILE,CLP0362E1386,434.73,916.34,1444.98,1616.68,2102.35,4253.94,4667.2,5186.54,7769.16,10345.57,4606.54,9058.5,9172.2,7555.48,7838.85,5466.66,5537.97,3898.97,5005.13,9144.24,6919.8,4233.15,5094.59,3884.49,4012.59,3332.66,3463.15
BANCO DE CHILE,CLP0939W1081,1094.69,2009.38,1872.03,1524.14,2042.34,3370.28,4076.8,4772.33,5508.32,6296.79,4147.92,7840.81,11605.2,13606.96,15094.02,11042.61,10570.22,9702.76,11678.79,17090.08,16245.15,10285.19,10299.83,10135.43,11327.45,11413.75,12431.71
BANCO SANTANDER CHILE,CLP1506A1070,1506.46,2145.12,2166.18,2041.83,3302.01,4974.39,5942.72,8830.34,8876.95,9071.69,6603.08,11329.21,15404.57,14366.19,14475.56,9170.63,9009.42,7916.52,10234.66,15649.3,15172.78,9776.45,9980.57,9263.06,8028.42,8851.19,9773.59
COMPANIA CERVECERIAS UNIDAS,CLP249051044,1129.6,1973.11,1609.31,1032.96,1040.18,1371.08,1531.32,1582.79,1889.96,2178.98,1903.51,2405.38,3339.92,4295.13,5120.96,3866.58,3419.05,3850.38,4231.28,5389.65,5227.15,3330.25,3224.59,3013.27,2960.84,2229.23,2215.27
CAP,CLP256251073,200.26,345.74,243.76,118.97,92.72,358.98,1287.68,2024.25,2232.03,4076.26,1901.63,4769.23,7668.33,6527.84,5603.39,2129.02,372.68,309.73,1447.84,1970.91,1646.19,878.34,1801.59,1751.96,1337.6,1074.7,814.77
BANCO DE CREDITO E INVERSION,CLP321331116,448.28,901.55,702.92,739.26,782.03,1609.17,2122.36,2444.17,3143.13,3092.5,1924.71,3689.87,6570.96,6814.37,8191.92,5445.49,4598.92,4133.43,6526.44,9663.48,9813.38,6145.05,6303.29,5694.52,5364.54,5817.13,6775.09
COLBUN MACHICURA,CLP3615W1037,343.75,430.64,410.44,531.89,574.17,1266.74,1100.92,2022.03,2853.97,2284.86,3014.7,4605.92,4560.53,4662.81,5492.3,3766.26,4960.78,4271.54,3345.0,4346.72,4007.22,2593.51,3128.06,1406.71,2085.24,2375.62,2369.97
EMBOTELLADORA ANDINA SERIES B,CLP3697S1034,748.62,933.14,768.29,409.08,422.46,720.02,802.46,897.82,1138.26,1208.05,925.14,1277.21,1778.56,1802.83,2694.13,1691.69,1345.76,1324.03,1731.67,2298.56,1811.44,1223.41,1243.93,996.45,1264.75,1176.46,1571.13
ENEL GENERACION CHILE,CLP3710M1090,3280.37,3540.78,3228.06,2539.05,2080.21,3234.09,4692.5,8476.96,10871.77,9822.45,10172.85,14049.12,14177.77,13467.93,14222.33,10405.35,11879.19,10400.05,5182.98,7983.35,5786.15,3643.88,2970.86,1651.8,2083.21,2693.5,3239.41
EMPRESA NACIONAL DE TELECOMUNICA,CLP371151059,188.96,1776.62,1928.92,1498.96,999.83,1405.09,1907.51,2279.21,3239.34,3755.75,2618.75,3389.76,3944.28,4601.47,5140.18,2813.51,2236.79,2165.33,3292.01,3653.02,3006.66,2005.04,1960.33,1218.44,1183.58,1003.03,936.03
ENEL AMERICAS,CLP371861061,3686.12,2790.82,3219.1,1741.68,689.65,4385.35,5249.61,7773.34,10611.47,9426.66,9462.37,15004.91,13770.41,12331.71,13014.78,13034.59,15192.92,11734.83,10778.08,13323.82,11791.1,15066.77,11688.79,12511.64,13929.75,10875.44,9625.93
FALABELLA SACI,CLP3880F1085,940.03,2319.07,1833.85,1539.38,1356.76,4152.92,5267.19,6181.32,9827.26,13061.1,6696.42,13507.4,23928.69,22056.75,28198.83,18109.52,16205.69,15621.13,19895.86,25577.62,19686.89,9703.36,8984.04,8514.58,5923.37,6048.25,9320.44
EMPRESAS COPEC,CLP7847L1080,2375.13,6316.2,4539.86,4455.16,4431.75,9557.26,9923.06,11052.13,17187.16,23417.66,10284.7,20965.0,22244.63,20529.14,20111.68,14959.9,14700.08,10754.12,13492.89,22452.98,18512.74,11781.83,14195.09,10401.15,10029.87,8235.61,8573.58
QUINENCO,CLP7980K1070,745.33,1431.85,813.56,729.01,515.32,966.79,1255.94,1285.49,1640.23,2080.61,1879.66,2661.56,4219.31,3855.58,4618.28,3641.58,3534.27,2840.63,4497.97,5421.31,4736.77,2910.6,3039.63,4141.02,5819.77,5337.69,6015.01
VINA CONCHA Y TORO,CLP9796J1008,352.61,605.63,592.88,477.08,479.55,600.6,1041.02,1025.93,1273.68,1339.6,1194.76,1720.17,1719.13,1687.93,1510.51,1339.12,1390.39,1172.2,1206.78,1665.14,1578.86,1332.26,1185.98,1154.56,963.8,768.09,833.55
CHINA VANKE 'A',CNE0000000T2,362.1,649.03,918.48,768.44,619.54,1087.32,1374.23,1941.51,7105.86,22722.85,9908.21,13158.67,12008.9,11797.29,18593.2,11812.86,20005.24,36105.22,29237.63,57887.29,39959.23,36866.12,42666.6,31057.54,26298.46,12853.76,9731.5
CHINA INTL.MAR.CTRS. (GP.) 'A',CNE000000644,227.96,443.52,668.61,619.2,536.98,1047.15,2047.7,1072.0,2747.81,3464.93,1242.94,2535.33,4661.39,2742.67,2793.43,3201.76,3762.36,2580.11,2902.71,4126.07,2165.49,1790.67,3439.11,3636.81,2493.72,2617.19,2589.69
SHAI.LJZ.FN&T.ZONE DEV. 'A',CNE0000009S5,1682.88,2165.76,2654.67,2087.18,2293.85,1980.43,1207.69,1182.61,2661.53,3950.14,3484.09,4408.33,3489.02,2523.59,2612.79,3973.4,7489.38,7969.31,7868.91,7645.94,4841.19,4856.94,4755.12,4857.32,4490.33,4317.46,4896.0
GUANGDONG ELEC.PWR.DEV. 'B',CNE000000HW5,85.0,156.07,289.21,450.4,392.38,584.43,321.58,298.49,450.83,443.74,223.93,369.2,357.16,265.92,506.03,393.32,500.3,473.54,367.34,327.68,261.49,227.15,236.91,237.67,219.9,203.17,203.89
BENGANG STL.PLATES 'B',CNE000000RN3,42.84,74.03,98.48,157.44,164.1,202.17,153.85,151.61,270.01,359.12,139.27,185.4,204.97,125.83,160.88,126.22,149.1,133.51,145.89,174.39,107.05,90.63,68.63,123.18,77.53,70.08,69.81
SHAI.ZHENHUA HEAVY IND. 'B',CNE000000SJ9,48.77,61.14,119.36,221.67,193.6,315.24,359.33,705.55,1856.52,2563.95,912.04,1193.76,1054.28,720.15,666.63,681.22,859.64,798.01,809.36,901.81,673.44,570.28,490.48,523.57,492.43,371.75,441.82
INNER MONGOLIA YITAI COAL 'B',CNE000000SK7,16.27,18.59,55.11,134.63,107.07,140.93,147.24,488.98,850.22,5120.34,2240.65,5944.57,10239.21,7601.08,8491.2,4538.39,4128.48,2184.29,2951.42,4693.58,3425.76,2084.74,1352.74,2699.61,4380.29,5346.52,6078.53
YANTAI CHANGYU PION.WINE 'B',CNE000000T59,27.93,33.93,53.82,89.7,74.8,102.67,159.46,301.04,826.37,1280.42,664.62,1504.0,1939.24,1897.95,1420.58,592.83,756.47,705.59,586.63,608.08,459.46,422.62,442.97,414.98,358.55,234.97,227.44
ZTE 'A',CNE000000TK5,1204.19,1363.05,1792.96,1652.79,1124.67,2156.59,2745.85,3173.05,4277.18,7883.64,4791.05,9315.56,9245.68,6725.4,4919.6,6148.76,8370.46,7508.16,7553.24,15775.57,10414.56,19700.97,18946.2,18827.08,15958.47,12173.97,22168.06
CHINA EASTERN AIRL. 'A',CNE000000TR0,1207.97,1582.76,2324.28,1798.19,2073.24,1822.03,1483.23,1011.09,1518.95,6334.68,2322.48,6828.21,7647.89,5063.16,4624.09,3540.78,6923.41,8496.71,9825.59,12839.96,7353.44,7320.47,8013.1,12351.91,13595.29,8677.14,9140.88
CHINA MERCHANTS BANK 'A',CNE000001B33,,,,,6784.55,8253.04,7322.69,10772.55,25072.92,55549.94,23743.13,35850.67,34025.81,36078.98,41931.15,35266.6,46433.96,46558.32,56986.07,113340.71,89730.92,102877.28,165983.09,159479.99,122841.63,86861.18,115432.85
CHINA MOLYBDENUM 'H',CNE100000114,,,,,,,,,,1520.21,513.99,1063.49,1259.55,657.58,716.64,548.82,811.74,545.37,1181.15,3012.43,1604.08,1468.51,2709.82,1998.67,2357.37,2157.84,2872.17
SHANDONG WEIGAO GP MEDICAL POLYMER 'H',CNE100000171,,,,,,,28.82,102.3,417.13,596.17,745.29,1507.52,2148.73,1804.49,1828.49,2207.77,1472.36,1216.41,1235.69,1312.6,3815.24,5612.32,9101.45,5535.81,7773.32,2949.31,2901.72
CHINA CITIC BANK 'H',CNE1000001Q4,,,,,,,,,,7348.65,4493.8,8622.17,8170.77,9593.61,10436.2,7187.72,10960.32,8444.62,9685.68,12291.74,9653.51,7797.64,6719.82,7084.52,7211.14,7421.94,10446.61
